Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,ABW,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.52799988,47.66600037,47.79399872,47.86500168,47.86999893,47.83499908,47.72499847,47.60300064,47.5019989,47.44499969,47.43799973,47.61999893,47.85300064,48.09600067,48.31200027,48.48699951,48.2519989,48,47.75999832,47.56200027,47.42900085,47.61199951,47.86399841,48.01699829,48.18899918,48.37400055,48.51699829,48.66600037,48.84999847,48.89199829
Angola,AGO,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.97299957,77.96299744,77.9940033,78.15699768,78.10600281,77.9509964,77.8690033,77.7990036,77.72200012,77.64099884,77.53800201,77.5019989,77.3789978,77.31600189,77.21199799,77.10800171,77.1230011,77.1230011,77.14399719,77.23799896,77.29299927,77.41100311,77.46399689,77.51499939,77.53700256,77.55400085,77.58699799,77.56800079,77.52899933,77.49299622
Albania,ALB,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.55500031,64.83499908,64.8710022,64.09799957,63.32699966,62.31999969,61.98899841,62.64099884,62.37200165,61.91400146,61.63800049,61.0379982,60.55099869,59.51699829,58.47399902,57.45500183,56.58200073,55.78699875,55.04399872,54.52099991,54.27000046,55.01800156,55.86100006,52.30899811,52.95199966,55.04100037,55.5019989,55.90800095,55.85300064,55.73199844
Andorra,AND,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.12562963,48.16499718,48.03200914,48.11949585,48.39191053,48.28945055,48.02467471,47.74337856,47.44703837,47.78392725,47.72874486,47.43286425,47.17085256,47.31434395,47.40644301,47.50463313,47.60010232,47.94973327,48.00902125,48.22871975,48.57575595,48.63085506,48.78296786,49.07210779,48.87521589,48.56842144,48.47721409,47.97357207,47.93578985,47.96486331
United Arab Emirates,ARE,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.78800201,73.05000305,73.49900055,74.19300079,74.68599701,75.13300323,74.68299866,74.55000305,74.80200195,75.33300018,75.96099854,75.46299744,75.49199677,76.04699707,77.1269989,78.55699921,78.96800232,80.03900146,81.39199829,82.71299744,83.77700043,83.56900024,83.25099945,82.96499634,82.8690033,83.01399994,82.51100159,82.30999756,82.10800171,82.09400177
Argentina,ARG,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.15399933,60.43500137,60.6780014,60.97200012,61.16999817,60.89799881,61.17900085,61.6629982,61.95100021,61.84199905,61.89099884,61.72299957,61.13399887,61.70800018,62.29000092,61.95199966,62.23400116,61.47000122,60.70600128,61.06399918,60.40299988,60.63199997,60.49700165,60.22000122,59.69300079,60.01800156,60.31100082,60.59199905,61.38999939,61.30199814
Armenia,ARM,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.48899841,57.31000137,57.0019989,56.59000015,56.12099838,55.625,55.16899872,54.75299835,54.36000061,53.95800018,53.5320015,53.24900055,52.95199966,52.69599915,52.56499863,52.60400009,52.76900101,53.08000183,53.40299988,53.97399902,56.5379982,57.89899826,58.19499969,58.43999863,57.76399994,57.08800125,55.95500183,55.65299988,55.6230011,55.62400055
American Samoa,ASM,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.92300034,63.27700043,62.97700119,62.58300018,63.08599854,63.68399811,63.67399979,63.31600189,63.21699905,63.00299835,63.37400055,63.56000137,63.61800003,63.80400085,63.65000153,64.55699921,64.91400146,65.3730011,65.66500092,65.58799744,65.60199738,65.62799835,65.33100128,65.09500122,64.85600281,65.15000153,64.99099731,65.23400116,65.65399933,65.51799774
Austria,AUT,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.9469986,56.16999817,56.88600159,57.13600159,58.53699875,59.05199814,58.5320015,58.19499969,58.48400116,58.62799835,58.51399994,57.95299911,58.83599854,58.75299835,56.81100082,58.10499954,58.49499893,59.38199997,59.65499878,59.97700119,59.95800018,60.02000046,60.29399872,60.43299866,60.1590004,60.09999847,60.50500107,60.52199936,60.72999954,60.68399811
Azerbaijan,AZE,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.58499908,60.69300079,61.51100159,62.45299911,63.31600189,63.86500168,63.88700104,63.73500061,63.43999863,63.23300171,63.13100052,62.99399948,62.88000107,62.79999924,62.77399826,62.81100082,62.88499832,63.02799988,63.22999954,63.47800064,63.75799942,63.99100113,64.27100372,64.54399872,65.05000305,65.51599884,66.26200104,66.59200287,66.83899689,66.5019989
Burundi,BDI,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.56800079,90.09999847,89.55799866,88.94000244,88.25099945,87.49199677,86.7480011,85.93399811,85.04199982,84.3219986,83.56099701,82.8730011,82.2009964,81.55999756,80.96800232,80.43800354,79.97200012,79.57099915,79.23500061,78.96600342,78.75700378,78.58899689,78.46700287,78.36199951,78.23300171,78.59400177,78.87200165,79.06700134,79.18000031,79.15399933
Belgium,BEL,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.27099991,49.125,49.38800049,49.5,50.11999893,50.39899826,50.3219986,50.41199875,50.68700027,51.84500122,52.20000076,50.72100067,50.94100189,51.0530014,51.76100159,53.17100143,53.00299835,53.57300186,53.59999847,53.38299942,53.9679985,53.0719986,53.13800049,53.49200058,53.54999924,53.44499969,53.23199844,53.37799835,53.70000076,53.56200027
Benin,BEN,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.4240036,72.46199799,72.48400116,72.57099915,72.62999725,72.66000366,72.63600159,72.57900238,72.48899841,72.36799622,72.21600342,72.03199768,71.81999969,71.87999725,71.88800049,71.85099792,71.75499725,71.61699677,71.44599915,71.2519989,71.04499817,70.86499786,70.85199738,70.81300354,70.78199768,70.79199982,70.80200195,70.79499817,70.77700043,70.86799622
Burkina Faso,BFA,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.16300201,83.15899658,82.63600159,82.08499908,81.51899719,80.9240036,80.30699921,79.68099976,79.03500366,78.375,77.71099854,77.02799988,76.33599854,75.6230011,74.90000153,74.15100098,73.38999939,72.69599915,71.96399689,71.19200134,70.3789978,69.52300262,68.625,67.67900085,66.68499756,66.67700195,66.65299988,66.61699677,66.56700134,66.43000031
Bangladesh,BGD,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.78900146,57.75099945,57.73799896,57.74900055,57.7840004,57.8409996,57.79000092,57.76699829,57.75999832,57.75500107,57.74200058,57.68999863,57.64799881,57.60699844,57.55599976,57.49300003,57.33499908,57.22399902,57.11399841,57.01200104,56.91699982,56.84600067,56.7859993,56.73400116,56.68799973,56.64400101,56.59600067,58.85900116,58.97200012,58.99300003
Bulgaria,BGR,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.01499939,57.875,57.77099991,56.83100128,55.8769989,54.9070015,53.96300125,53.01499939,52.03900146,51,49.8769989,51.64400101,51.1629982,50.27399826,51.06999969,50.375,52.31999969,53.78900146,55.125,54.32500076,53.40399933,52.52999878,53.06999969,53.86000061,54.14899826,54.1780014,53.45000076,55.45500183,55.46300125,55.36700058
