Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,ABW,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,4.626224437,4.781767218,4.948163652,5.11960797,5.315561776,5.534315262,5.768755407,5.990461436,6.225762186,6.505042214,6.82382134,7.322447596,7.860649599,8.410119405,8.909378434,9.359437169,9.579506502,9.775840598,9.935321595,10.10057508,10.28093395,10.39762115,10.51717484,10.61055127,10.6993957,10.7368176,10.89409824,11.03425166,11.14097535,11.23122687,11.29227483,10.78792259,10.39344332,10.12459199,9.97466454,9.921372409,10.06005226,10.22788656,10.4357893,10.67060312,10.94790723,11.19099379,11.45954962,11.74273859,12.0210881,12.28468917,12.76689381,13.24317428,13.74930742,14.30179859,14.94563276,15.36382389,15.82971747,16.34825787,16.92249833,17.54940273,18.23159463,18.96181483,19.74015607,
Afghanistan,AFG,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,5.082210477,5.130136707,5.139642051,5.115523012,5.063744661,4.987897636,5.038185626,5.062484195,5.059057849,5.025276007,4.96126864,5.001085701,5.010853569,4.994036092,4.95525376,4.897391467,4.937336105,4.942074906,4.910614115,4.842661124,4.738209406,4.801571726,4.81353463,4.766776396,4.653229956,4.462318228,4.543755513,4.596789632,4.615228562,4.590041037,4.513903085,4.526276134,4.554262393,4.60102019,4.667323418,4.754423651,4.780926723,4.784443692,4.768537157,4.737744926,4.695195071,4.645424874,4.59451215,4.546036496,4.501744853,4.462753224,4.5255063,4.577609849,4.621878234,4.663033259,4.703892573,4.714208548,4.723094709,4.727602799,4.722937928,4.708320454,4.735985313,4.750925407,4.758272824,
Angola,AGO,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,5.481031735,5.622025899,5.7345593,5.812715891,5.847789127,5.835123289,5.783511053,5.668077254,5.492001075,5.267335523,5.006723201,5.086932321,5.161354105,5.217088054,5.237146772,5.2180065,5.20086773,5.145232108,5.076063342,5.021681364,4.993876979,5.031177186,5.079253373,5.122675785,5.137400366,5.114439328,5.108286431,5.065422166,5.007511794,4.960709203,4.93685452,4.978259235,5.020932587,5.058189108,5.081598275,5.08817865,5.12936612,5.147063384,5.146342798,5.132916942,5.109917029,5.12473443,5.123483768,5.103511711,5.060252592,4.993822845,4.952989819,4.888352336,4.811589858,4.735381917,4.665744378,4.647636222,4.628683424,4.602140187,4.558695907,4.496403005,4.460867827,4.407194293,4.347984716,
Albania,ALB,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,9.94022096,9.97069344,10.06712578,10.18712389,10.27335982,10.29594155,10.20448222,10.05816005,9.890452498,9.742233889,9.635497445,9.546254579,9.476218683,9.416090797,9.351147819,9.276783726,9.237415523,9.184205184,9.125026198,9.069731121,9.023153008,9.001808942,8.982934553,8.964496573,8.940045763,8.908175138,8.8917333,8.864585857,8.844383617,8.853025204,8.901593755,9.191396399,9.516995659,9.867033462,10.22300953,10.57535405,10.7220606,10.85417974,10.98350622,11.12271411,11.27352205,11.60725768,11.96103318,12.32892986,12.70233065,13.07835117,13.59162052,14.13204714,14.69930667,15.29301842,15.91253476,16.31519243,16.74338367,17.21555374,17.7563718,18.3779739,18.87008579,19.41806394,20.04121416,
Andorra,AND,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,6.591950993,6.700902887,6.793279187,6.867326851,6.919223588,6.947790494,7.01559232,7.053467701,7.070115579,7.075064782,7.073558428,7.118325486,7.148210414,7.16107282,7.153341956,7.125598245,7.113481129,7.08101913,7.035085429,6.982555627,6.92803197,6.904018713,6.870981461,6.832831649,6.793739502,6.757143515,6.758940753,6.759009198,6.761258102,6.767896236,6.758975761,6.798594192,6.880143178,6.907188338,6.931274273,6.915865645,6.946867095,6.967999788,6.981806224,6.988115514,6.987119098,6.97566685,6.956360086,6.929347796,6.892969243,6.848757414,6.808759144,6.759558205,6.711797883,6.6768177,6.661625291,6.668728014,6.686882779,6.720702501,6.776496139,6.858187431,6.981482122,7.121446411,7.273784509,
United Arab Emirates,ARE,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,6.604244694,5.952159863,5.364444733,4.828307971,4.333920518,3.850130361,3.428747941,3.057667029,2.737477959,2.468790541,2.254306655,1.829510085,1.691168343,1.743016109,1.902787671,2.119083415,2.046634066,2.025928844,2.042966731,2.061762062,2.054743972,2.020764612,1.950052593,1.878840251,1.834024345,1.8225447,1.786798112,1.773472881,1.775114239,1.777976862,1.771751453,1.71677118,1.653877756,1.588436466,1.526880464,1.472274373,1.462950816,1.474924881,1.497028408,1.509301038,1.499469918,1.386591416,1.286047117,1.203384242,1.141948059,1.09890525,0.971839592,0.889014704,0.837761489,0.808932514,0.795736596,0.864472293,0.937429527,1.006727513,1.062267958,1.099338594,1.166276591,1.225037836,1.286895759,
Argentina,ARG,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,8.722883296,8.94613395,9.156865143,9.360362446,9.563201907,9.76988021,10.01496687,10.25302659,10.48344575,10.70489812,10.91788598,11.16311172,11.39049868,11.6039415,11.80761988,12.00455162,12.27304691,12.53025413,12.77391259,12.99953562,13.20642953,13.41247882,13.59013677,13.74901754,13.89990005,14.04865823,14.23487928,14.40384044,14.55530799,14.68716602,14.79873316,14.98124099,15.13386794,15.25954425,15.36174279,15.44389112,15.55121911,15.63480683,15.69514025,15.72980391,15.73979574,15.77161309,15.77667809,15.76594369,15.75186192,15.74343032,15.78289729,15.81543987,15.85190624,15.90613569,15.98742733,16.11911661,16.26502324,16.42216405,16.58411703,16.74806751,16.9526709,17.14903839,17.33868976,
Armenia,ARM,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,11.54260356,11.2732305,10.99129706,10.71817617,10.48297322,10.30122808,10.23102612,10.19207876,10.16724188,10.13427411,10.08478974,10.04107544,9.958875585,9.858261632,9.759994128,9.673193606,9.663482365,9.653533467,9.617765344,9.518710304,9.345264865,9.159439884,8.924319127,8.681367444,8.482904072,8.36231171,8.263428493,8.214664926,8.2527246,8.425920973,8.755852093,9.507774843,10.43775406,11.4778894,12.50635097,13.44018924,14.05060555,14.46668072,14.77650053,15.12852802,15.60740827,16.10594797,16.7410888,17.37445106,17.78660694,17.85753475,17.72435194,17.28841103,16.69679814,16.16055225,15.80814025,15.58909264,15.51563625,15.55326544,15.64276898,15.75462268,15.9664673,16.21156219,16.52231047,
American Samoa,ASM,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
